event_id,pre_date,post_date,tile,burned_ha,other_fire_ha,pre_scene,post_scene
0,2018-07-03,2018-09-01,T34SEG,111,347,S2A_MSIL2A_20180703T092031_N0208_R093_T34SEG_20180703T121025,S2A_MSIL2A_20180901T092031_N0208_R093_T34SEG_20180901T131611
5,2018-06-15,2018-08-04,T34SGH,1433,70,S2B_MSIL2A_20180615T090549_N0208_R050_T34SGH_20180615T114740,S2B_MSIL2A_20180804T090549_N0208_R050_T34SGH_20180804T142040
7,2018-04-26,2018-09-03,T34SGH,42,1462,S2B_MSIL2A_20180426T090549_N0207_R050_T34SGH_20180426T125844,S2B_MSIL2A_20180903T090549_N0208_R050_T34SGH_20180903T141354
10,2018-07-05,2018-08-14,T34SFH,5083,410,S2B_MSIL2A_20180705T091019_N0208_R050_T34SFH_20180705T133603,S2B_MSIL2A_20180814T090549_N0208_R050_T34SFH_20180814T180143
13,2018-09-21,2018-10-24,T34SDJ,25,0,S2A_MSIL2A_20180921T092021_N0208_R093_T34SDJ_20180921T122041,S2A_MSIL2A_20181024T093041_N0209_R136_T34SDJ_20181024T122720
14,2018-07-20,2018-10-26,T34SFH,410,5083,S2A_MSIL2A_20180720T090601_N0208_R050_T34SFH_20180720T121049,S2B_MSIL2A_20181026T092049_N0209_R093_T34SFH_20181026T114842
15,2018-04-28,2018-08-31,T35SMU,70,0,S2A_MSIL2A_20180428T085601_N0207_R007_T35SMU_20180428T111539,S2B_MSIL2A_20180831T085549_N0208_R007_T35SMU_20180831T145951
17,2018-07-15,2018-08-14,T35SKV,127,166,S2B_MSIL2A_20180715T090549_N0208_R050_T35SKV_20180715T134929,S2B_MSIL2A_20180814T090549_N0208_R050_T35SKV_20180814T180143
19,2018-06-05,2018-09-03,T35SKV,110,183,S2B_MSIL2A_20180605T090549_N0208_R050_T35SKV_20180605T123736,S2B_MSIL2A_20180903T090549_N0208_R050_T35SKV_20180903T141354
22,2018-04-04,2018-07-03,T34SEG,275,183,S2A_MSIL2A_20180404T092031_N0207_R093_T34SEG_20180404T105118,S2A_MSIL2A_20180703T092031_N0208_R093_T34SEG_20180703T121025
23,2018-07-03,2018-10-26,T34SEH,370,83,S2A_MSIL2A_20180703T092031_N0208_R093_T34SEH_20180703T121025,S2B_MSIL2A_20181026T092049_N0209_R093_T34SEH_20181026T114842
24,2018-07-03,2018-10-26,T34SEH,83,370,S2A_MSIL2A_20180703T092031_N0208_R093_T34SEH_20180703T121025,S2B_MSIL2A_20181026T092049_N0209_R093_T34SEH_20181026T114842
25,2018-04-26,2018-09-03,T35SKB,42,88,S2B_MSIL2A_20180426T090549_N0207_R050_T35SKB_20180426T125844,S2B_MSIL2A_20180903T090549_N0208_R050_T35SKB_20180903T141354
26,2018-04-26,2018-05-03,T35SLB,66,0,S2B_MSIL2A_20180426T090549_N0207_R050_T35SLB_20180426T125844,S2B_MSIL2A_20180503T085559_N0207_R007_T35SLB_20180503T124830
27,2018-03-30,2018-07-03,T34SFJ,174,72,S2B_MSIL2A_20180330T092029_N0207_R093_T34SFJ_20180330T112326,S2A_MSIL2A_20180703T092031_N0208_R093_T34SFJ_20180703T121025
28,2018-07-03,2018-10-26,T34SEJ,71,0,S2A_MSIL2A_20180703T092031_N0208_R093_T34SEJ_20180703T121025,S2B_MSIL2A_20181026T092049_N0209_R093_T34SEJ_20181026T114842
29,2018-03-30,2018-04-09,T34TEK,62,0,S2B_MSIL2A_20180330T092029_N0207_R093_T34TEK_20180330T113139,S2B_MSIL2A_20180409T092029_N0207_R093_T34TEK_20180409T112706
30,2018-10-26,2019-02-18,T34TFL,174,425,S2B_MSIL2A_20181026T092049_N0209_R093_T34TFL_20181026T114842,S2A_MSIL2A_20190218T092031_N0211_R093_T34TFL_20190218T104845
31,2018-09-16,2018-10-26,T34TFL,39,560,S2B_MSIL2A_20180916T092019_N0208_R093_T34TFL_20180916T121224,S2B_MSIL2A_20181026T092049_N0209_R093_T34TFL_20181026T114842
32,2018-10-26,2019-02-18,T34TFL,105,493,S2B_MSIL2A_20181026T092049_N0209_R093_T34TFL_20181026T114842,S2A_MSIL2A_20190218T092031_N0211_R093_T34TFL_20190218T104845
33,2018-10-26,2019-02-18,T34TFL,157,441,S2B_MSIL2A_20181026T092049_N0209_R093_T34TFL_20181026T114842,S2A_MSIL2A_20190218T092031_N0211_R093_T34TFL_20190218T104845
34,2018-09-16,2018-10-26,T34TFL,124,475,S2B_MSIL2A_20180916T092019_N0208_R093_T34TFL_20180916T121224,S2B_MSIL2A_20181026T092049_N0209_R093_T34TFL_20181026T114842
35,2018-10-18,2018-10-26,T34TGK,610,0,S2A_MSIL2A_20181018T090951_N0209_R050_T34TGK_20181018T122725,S2B_MSIL2A_20181026T092049_N0209_R093_T34TGK_20181026T114842
38,2018-04-26,2018-09-03,T34SGG,43,0,S2B_MSIL2A_20180426T090549_N0207_R050_T34SGG_20180426T125844,S2B_MSIL2A_20180903T090549_N0208_R050_T34SGG_20180903T141354
39,2018-07-03,2018-10-26,T34SFJ,72,174,S2A_MSIL2A_20180703T092031_N0208_R093_T34SFJ_20180703T121025,S2B_MSIL2A_20181026T092049_N0209_R093_T34SFJ_20181026T114842
40,2018-06-05,2018-09-03,T34SGE,113,314,S2B_MSIL2A_20180605T090549_N0208_R050_T34SGE_20180605T123736,S2B_MSIL2A_20180903T090549_N0208_R050_T34SGE_20180903T141354
